appraisal_d	t_stat	p_value
suddenness	0.5952337994666477	0.551743365439611
familiarity	0.7709551503726191	0.440809469151043
event	1.0806131983947758	0.2799778740639722
pleasantness	1.076725950600872	0.2817110238153279
unpleasantness	0.09782897134566043	0.9220762777843998
relevance	1.2569989843329386	0.20887642050279798
responsblt	0.7003951858974516	0.48370317921126915
conseq	1.1942934918376882	0.23242222066336188
support	0.9339231609847902	0.3504375582668763
urgency	0.9537137251992925	0.3403246943302245
control	0.09751767522581183	0.9223180134498075
standards	0.9774994243516305	0.32842056251162866
norms	0.3980332934147074	0.6906410760729026
attention	0.6228248011717283	0.5334588818959461
consider	1.1080094906034796	0.26796883708524666
effort	0.8091113860366129	0.41853134930973923
